Count	Timestamp	Time since start (s)		Cray node E (J)	Cray cpu E (J)	Cray memory E (J)	Cray node E since start (J)	Cray cpu E since start (J)	Cray memory E since start (J)	Cray node P (W)	Cray cpu P (W)	Cray memory P (W)	Cray node P calc (W)	Cray cpu P calc (W)	Cray memory P calc (W)	Cpufreq frequency (MHz)	Cray frequency (MHz)	
--- EMON TAG START: application_summary
26	2019-08-21 17:12:12	13.000000	697135029.000000	403163017.000000	46631208.000000	1658.000000	1038.000000	169.000000	127.000000	80.000000	13.000000	128.000000	78.000000	12.000000	1301.000000	10.000000	
27	2019-08-21 17:12:13	14.000000	697135093.000000	403163057.000000	46631215.000000	1722.000000	1078.000000	176.000000	128.000000	79.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
28	2019-08-21 17:12:13	14.000000	697135158.000000	403163098.000000	46631221.000000	1787.000000	1119.000000	182.000000	127.000000	79.000000	13.000000	130.000000	82.000000	12.000000	1301.000000	10.000000	
29	2019-08-21 17:12:14	15.000000	697135220.000000	403163137.000000	46631228.000000	1849.000000	1158.000000	189.000000	127.000000	80.000000	13.000000	124.000000	78.000000	14.000000	1301.000000	10.000000	
30	2019-08-21 17:12:14	15.000000	697135284.000000	403163176.000000	46631234.000000	1913.000000	1197.000000	195.000000	127.000000	80.000000	13.000000	128.000000	78.000000	12.000000	1301.000000	10.000000	
31	2019-08-21 17:12:15	16.000000	697135347.000000	403163216.000000	46631241.000000	1976.000000	1237.000000	202.000000	127.000000	80.000000	13.000000	126.000000	80.000000	14.000000	1301.000000	10.000000	
32	2019-08-21 17:12:15	16.000000	697135411.000000	403163256.000000	46631247.000000	2040.000000	1277.000000	208.000000	127.000000	79.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
33	2019-08-21 17:12:16	17.000000	697135475.000000	403163296.000000	46631254.000000	2104.000000	1317.000000	215.000000	127.000000	79.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
34	2019-08-21 17:12:16	17.000000	697135538.000000	403163336.000000	46631260.000000	2167.000000	1357.000000	221.000000	127.000000	79.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
35	2019-08-21 17:12:17	18.000000	697135603.000000	403163376.000000	46631267.000000	2232.000000	1397.000000	228.000000	129.000000	80.000000	13.000000	130.000000	80.000000	14.000000	1301.000000	10.000000	
36	2019-08-21 17:12:17	18.000000	697135666.000000	403163415.000000	46631273.000000	2295.000000	1436.000000	234.000000	128.000000	79.000000	13.000000	126.000000	78.000000	12.000000	1301.000000	10.000000	
37	2019-08-21 17:12:18	19.000000	697135730.000000	403163455.000000	46631279.000000	2359.000000	1476.000000	240.000000	128.000000	80.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
38	2019-08-21 17:12:18	19.000000	697135794.000000	403163495.000000	46631286.000000	2423.000000	1516.000000	247.000000	128.000000	79.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
39	2019-08-21 17:12:19	20.000000	697135857.000000	403163535.000000	46631292.000000	2486.000000	1556.000000	253.000000	128.000000	80.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
40	2019-08-21 17:12:19	20.000000	697135921.000000	403163575.000000	46631299.000000	2550.000000	1596.000000	260.000000	128.000000	80.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
41	2019-08-21 17:12:20	21.000000	697135985.000000	403163614.000000	46631305.000000	2614.000000	1635.000000	266.000000	127.000000	79.000000	13.000000	128.000000	78.000000	12.000000	1301.000000	10.000000	
42	2019-08-21 17:12:20	21.000000	697136048.000000	403163654.000000	46631312.000000	2677.000000	1675.000000	273.000000	128.000000	79.000000	13.000000	126.000000	80.000000	14.000000	1301.000000	10.000000	
43	2019-08-21 17:12:21	22.000000	697136112.000000	403163694.000000	46631318.000000	2741.000000	1715.000000	279.000000	127.000000	79.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
44	2019-08-21 17:12:21	22.000000	697136175.000000	403163733.000000	46631325.000000	2804.000000	1754.000000	286.000000	127.000000	79.000000	13.000000	126.000000	78.000000	14.000000	1301.000000	10.000000	
45	2019-08-21 17:12:22	23.000000	697136239.000000	403163773.000000	46631331.000000	2868.000000	1794.000000	292.000000	127.000000	79.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
46	2019-08-21 17:12:22	23.000000	697136302.000000	403163813.000000	46631337.000000	2931.000000	1834.000000	298.000000	127.000000	79.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
47	2019-08-21 17:12:23	24.000000	697136366.000000	403163852.000000	46631344.000000	2995.000000	1873.000000	305.000000	128.000000	79.000000	13.000000	128.000000	78.000000	14.000000	1301.000000	10.000000	
48	2019-08-21 17:12:23	24.000000	697136429.000000	403163892.000000	46631350.000000	3058.000000	1913.000000	311.000000	128.000000	79.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
49	2019-08-21 17:12:24	25.000000	697136493.000000	403163931.000000	46631357.000000	3122.000000	1952.000000	318.000000	127.000000	79.000000	13.000000	128.000000	78.000000	14.000000	1301.000000	10.000000	
50	2019-08-21 17:12:24	25.000000	697136557.000000	403163971.000000	46631363.000000	3186.000000	1992.000000	324.000000	128.000000	79.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
51	2019-08-21 17:12:25	26.000000	697136620.000000	403164011.000000	46631369.000000	3249.000000	2032.000000	330.000000	127.000000	79.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
52	2019-08-21 17:12:25	26.000000	697136685.000000	403164051.000000	46631376.000000	3314.000000	2072.000000	337.000000	128.000000	79.000000	13.000000	130.000000	80.000000	14.000000	1301.000000	10.000000	
53	2019-08-21 17:12:26	27.000000	697136747.000000	403164090.000000	46631382.000000	3376.000000	2111.000000	343.000000	127.000000	79.000000	13.000000	124.000000	78.000000	12.000000	1301.000000	10.000000	
54	2019-08-21 17:12:26	27.000000	697136811.000000	403164130.000000	46631389.000000	3440.000000	2151.000000	350.000000	127.000000	79.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
55	2019-08-21 17:12:27	28.000000	697136875.000000	403164169.000000	46631395.000000	3504.000000	2190.000000	356.000000	127.000000	79.000000	13.000000	128.000000	78.000000	12.000000	1301.000000	10.000000	
56	2019-08-21 17:12:27	28.000000	697136938.000000	403164209.000000	46631402.000000	3567.000000	2230.000000	363.000000	127.000000	79.000000	13.000000	126.000000	80.000000	14.000000	1301.000000	10.000000	
57	2019-08-21 17:12:28	29.000000	697137002.000000	403164248.000000	46631408.000000	3631.000000	2269.000000	369.000000	127.000000	79.000000	13.000000	128.000000	78.000000	12.000000	1301.000000	10.000000	
58	2019-08-21 17:12:28	29.000000	697137066.000000	403164288.000000	46631415.000000	3695.000000	2309.000000	376.000000	127.000000	79.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
59	2019-08-21 17:12:29	30.000000	697137129.000000	403164328.000000	46631421.000000	3758.000000	2349.000000	382.000000	127.000000	79.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
60	2019-08-21 17:12:29	30.000000	697137193.000000	403164368.000000	46631428.000000	3822.000000	2389.000000	389.000000	127.000000	80.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
61	2019-08-21 17:12:30	31.000000	697137256.000000	403164407.000000	46631434.000000	3885.000000	2428.000000	395.000000	127.000000	79.000000	13.000000	126.000000	78.000000	12.000000	1301.000000	10.000000	
62	2019-08-21 17:12:30	31.000000	697137320.000000	403164447.000000	46631440.000000	3949.000000	2468.000000	401.000000	127.000000	80.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
63	2019-08-21 17:12:31	32.000000	697137383.000000	403164487.000000	46631447.000000	4012.000000	2508.000000	408.000000	127.000000	80.000000	13.000000	126.000000	80.000000	14.000000	1301.000000	10.000000	
64	2019-08-21 17:12:31	32.000000	697137447.000000	403164526.000000	46631453.000000	4076.000000	2547.000000	414.000000	127.000000	79.000000	13.000000	128.000000	78.000000	12.000000	1301.000000	10.000000	
65	2019-08-21 17:12:32	33.000000	697137511.000000	403164566.000000	46631459.000000	4140.000000	2587.000000	420.000000	127.000000	79.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
66	2019-08-21 17:12:32	33.000000	697137574.000000	403164606.000000	46631466.000000	4203.000000	2627.000000	427.000000	127.000000	79.000000	13.000000	126.000000	80.000000	14.000000	1301.000000	10.000000	
67	2019-08-21 17:12:33	34.000000	697137638.000000	403164645.000000	46631472.000000	4267.000000	2666.000000	433.000000	127.000000	79.000000	13.000000	128.000000	78.000000	12.000000	1301.000000	10.000000	
68	2019-08-21 17:12:33	34.000000	697137702.000000	403164685.000000	46631479.000000	4331.000000	2706.000000	440.000000	128.000000	79.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
69	2019-08-21 17:12:34	35.000000	697137765.000000	403164725.000000	46631485.000000	4394.000000	2746.000000	446.000000	128.000000	79.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
70	2019-08-21 17:12:34	35.000000	697137829.000000	403164764.000000	46631491.000000	4458.000000	2785.000000	452.000000	127.000000	79.000000	13.000000	128.000000	78.000000	12.000000	1301.000000	10.000000	
71	2019-08-21 17:12:35	36.000000	697137893.000000	403164804.000000	46631498.000000	4522.000000	2825.000000	459.000000	127.000000	79.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
72	2019-08-21 17:12:35	36.000000	697137956.000000	403164844.000000	46631504.000000	4585.000000	2865.000000	465.000000	127.000000	79.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
73	2019-08-21 17:12:36	37.000000	697138020.000000	403164883.000000	46631511.000000	4649.000000	2904.000000	472.000000	128.000000	79.000000	13.000000	128.000000	78.000000	14.000000	1301.000000	10.000000	
74	2019-08-21 17:12:36	37.000000	697138084.000000	403164923.000000	46631517.000000	4713.000000	2944.000000	478.000000	128.000000	79.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
75	2019-08-21 17:12:37	38.000000	697138147.000000	403164962.000000	46631523.000000	4776.000000	2983.000000	484.000000	127.000000	79.000000	13.000000	126.000000	78.000000	12.000000	1301.000000	10.000000	
